i,hs2,v
20,19,641.4730067886412
20,20,5.737000048160553
20,21,49.5620006006211
20,22,15.79499998223037
20,23,50.64299957454205
20,24,214.3559938981198
20,25,2029.80702316761
20,26,1.039000034332275
20,27,2339.775025293231
20,28,180.0670001804829
20,29,104.1890015527606
20,30,2242.182002769783
20,32,307.3389961225912
20,33,836.1789893532405
20,34,50.77000066405162
20,35,7.047999855014496
20,36,.0309999994933605
20,38,293.5730017023161
20,39,825.3909932441311
20,40,466.3750070289243
20,41,2.190999984741211
20,42,296.8120015820023
20,44,148.219997885637
20,45,23.78000068664551
20,46,.7860000133514404
20,47,5.802999973297119
20,48,2318.489002582268
20,49,1787.12199750531
20,51,.1150000020861626
20,52,.3299999942537397
20,53,92.40699768066406
20,54,136.2259979695082
20,55,.3769999928772449
20,56,38.41900002583861
20,57,34.24899939633906
20,58,56.47799938637763
20,59,24.00599971227348
20,60,20.13999954424798
20,61,393.08899570629
20,62,485.4910013454501
20,63,88.26199889113195
20,64,1277.157997995964
20,65,279.4299953319132
20,66,9.130999940447509
20,67,3.443000001716428
20,68,62.53900055959821
20,69,38.20499991974793
20,70,111.5599997891113
20,71,407.0070035932586
20,72,1994.401931984234
20,73,1245.306993319886
20,74,196.3189925411716
20,75,96.10300064086914
20,76,326.1339976902818
20,78,.0750000029802322
20,79,.0080000003799796
20,81,8.075000252574682
20,82,66.59199968085159
20,83,98.99700079101603
20,84,3391.544029787998
20,85,41833.60200354969
20,86,8.537999987602234
20,87,14866.96619989118
20,88,96.02499947696924
20,89,594.7950134277344
20,90,20840.66151445929
20,91,2991.365977677982
20,92,237.2859932295978
20,94,684.7519972276641
20,95,664.9289899069117
20,96,47.93700053973589
20,97,593.7900104112923
24,1,1648.431992365979
24,2,309.6220065461239
24,3,37723.15180640761
24,4,9731.116085058427
24,5,183.5179967805743
24,6,36.94000110332854
24,7,6774.881053718971
24,8,5737.777110581985
24,9,6818.895034361631
24,10,1050.756985864486
24,11,10814.83105349576
24,12,340.2510037769098
24,13,31.75800048513338
24,14,3.527000127360225
24,15,3000.626044917619
24,16,3089.527986603556
24,17,1814.091986667365
24,18,1608.063990112743
24,19,4224.316036328557
24,20,5399.917969345232
24,21,1047.876020612079
24,22,21641.4008558027
24,23,37980.06083731051
24,24,464.9589936374687
24,25,86456.94325463381
24,26,229.1899954638211
24,27,35015093.11894289
24,28,14312.60297217616
24,29,549.4339995279443
24,30,286.7270019598072
24,31,466.4680057166843
24,32,353.2150021785637
24,33,447.7320008163806
24,34,12757.40489109664
24,35,59.69600096344948
24,36,1013.556991568767
24,37,.8139999946579337
24,38,5168.188034240506
24,39,7894.209962302004
24,40,1918.029985867324
24,41,50.63600078225136
24,42,197.3599988475908
24,43,.1789999990724027
24,44,20317.17899986671
24,45,.578000009059906
24,46,153.7969972293358
24,47,6.22899986198172
24,48,8586.410225240747
24,49,161.0820000077365
24,50,2.200000032782555
24,51,2.222000014036894
24,52,68.75800022052135
24,53,.4830000102519989
24,54,270.6480023059994
24,55,38.31100006424822
24,56,255.0310006040381
24,57,544.6449960926548
24,58,51.10300063691102
24,59,62.74100001947954
24,60,.7969999965280294
24,61,521.1239944465924
24,62,254.6419998964993
24,63,1505.981001554755
24,64,1443.387989517767
24,65,37.83699982287362
24,66,19.1850002175197
24,67,138.4999996135011
24,68,6735.829999671201
24,69,6502.30621434038
24,70,26033.58042817027
24,71,3368309.03409943
24,72,90076.41461896105
24,73,41780.00957674556
24,74,45319.30510223215
24,75,618.2979858070612
24,76,45545.224563058
24,78,3299.767969608307
24,79,1106.673974078149
24,80,.0050000001210719
24,81,22.9509996304987
24,82,2997.220026087132
24,83,1759.569006960723
24,84,202814.946677194
24,85,36468.1286832341
24,86,8918.226128816605
24,87,7243.950971186743
24,88,67517.87497920729
24,89,2714395.025870362
24,90,45256.16476908862
24,91,629.1759901324986
24,92,26.14900010579731
24,93,1152.570999989752
24,94,2628.69501089002
24,95,146.6429998953827
24,96,336.8960016670171
24,97,285.8370010182261
28,1,21.46300022304058
28,2,225.3760070130229
28,3,4556.36508076638
28,4,329.736991673708
28,6,2.959999978542328
28,7,532.0129946339875
28,8,1076.936007760465
28,9,53.16300043370575
28,10,1863.343014918268
28,11,.4069999922066927
28,12,1593.435947009129
28,15,51.16700046509504
28,16,8.690999887883663
28,17,2.653999954462051
28,18,12.53499965276569
28,19,53.90900026320014
28,20,158.0090012270957
28,21,1360.28195799794
28,22,2479.059015922714
28,23,221.9409955441952
28,24,174.5520000830293
28,25,125.2509998469613
28,27,95155.46640457539
28,28,448.3450076198205
28,29,120.2750005079433
28,30,535.2750096447999
28,31,1.361000001430511
28,32,805.8380074184388
28,33,393.8970036127139
28,34,20.78100020135753
28,35,1.651999976485968
28,36,1.577000008430332
28,37,1.769000053405762
28,38,56.37699998205062
28,39,755.441000266932
28,40,365.2270076288842
28,41,.0389999998733401
28,42,400.2820047213463
28,43,.3680000007152557
28,44,55.62099889153615
28,46,13.06900045275688
28,47,30.42499923706055
28,48,145.8769999169745
28,49,283.0820005876012
28,51,.7639999687671661
28,52,2.395000049844384
28,53,.136000007390976
28,54,5.549000024795532
28,55,1.035999989137053
28,56,86.41900123283267
28,57,22.83500025607646
28,59,.0189999993890524
28,60,25.34799957275391
28,61,498.0159954852425
28,62,1862.693009465933
28,63,1720.659035276622
28,64,264.3339990990935
28,65,32.13500071864109
28,66,7.895000239834189
28,67,1.086999982595444
28,68,81.61800153250806
28,69,116.9280025474727
28,70,45.75799944018945
28,71,990.9950102623552
28,72,1011.389981107786
28,73,6630.264912420418
28,74,1436.020973389968
28,76,2077.287948854268
28,78,186.8149931430817
28,79,58.69400158524513
28,81,.9520000219345093
28,82,96.25699934270233
28,83,104.2930001260247
28,84,8807.509145181393
28,85,3459.519964646315
28,86,129.6599982939661
28,87,4303.573952101637
28,88,55.38500102609396
28,89,141304.9551558346
28,90,590.5270020890748
28,91,163.7230010740459
28,92,12.83500041440129
28,93,.0239999992772937
28,94,524.0250089641195
28,95,277.1569954857696
28,96,90.01000104937702
28,97,9902.418840113096
31,1,481.1780116558075
31,2,2038.574018478394
31,3,4008.22301235795
31,4,97770.86603047512
31,5,5779.944983720779
31,6,557.6920049716718
31,7,213730.1211163572
31,8,504297.9675432802
31,9,7467.527896811604
31,10,528.3369920819532
31,11,2262.870011712192
31,12,13674.19679527497
31,13,374.4429897665977
31,14,194.2409984208643
31,15,29207.54477912001
31,16,1525.187006428838
31,17,39221.51938343118
31,18,11809.7500566137
31,19,12721.74489484972
31,20,38231.49852245115
31,21,5169.508016126696
31,22,69907.26395831327
31,23,6821.168210068252
31,24,60725.79201114911
31,25,98152.83021545026
31,26,4321.346049465239
31,27,22867506.86930296
31,28,15682.9571254896
31,29,148836.4360197631
31,30,3379.789020689088
31,31,182083.2425556183
31,32,9016.396105308784
31,33,3731.809004227165
31,34,1314.134987972444
31,35,353.1579992650077
31,36,91.97900301218033
31,37,141.4049949953333
31,38,32210.45703019877
31,39,372378.3642964317
31,40,2570.232024601544
31,41,14544.39332437515
31,42,208.5120000685565
31,43,2.92300009727478
31,44,5227.499969040626
31,45,49.27100135013461
31,46,2.081000061705709
31,47,10.84799957275391
31,48,2560.286039202474
31,49,1014.040999943274
31,50,958.6950046997517
31,51,93.55299949645996
31,52,229805.9837105032
31,53,137.4609987800941
31,54,474.2329876895528
31,55,18.67599987983704
31,56,106.1469985251315
31,57,392.5579958353192
31,58,308.1790035041049
31,59,18.71899954974651
31,60,251.2900035883067
31,61,699.3069948460907
31,62,3747.628009180655
31,63,24707.27871548175
31,64,580.4369974792935
31,65,57.52700037194882
31,66,1.540999957825989
31,67,95.25099995685741
31,68,11564.6830162754
31,69,2939.001006011735
31,70,20083.30634376802
31,71,226639.778002569
31,72,91682.11421172135
31,73,44549.6847513949
31,74,39947.38933738298
31,75,53.51600016094744
31,76,238551.1126513281
31,78,17488.5462012291
31,79,1519.494984727819
31,81,47.68400029838085
31,82,1226.14499267214
31,83,19204.90326589905
31,84,85055.80990279908
31,85,49281.94460499682
31,86,3611.912970036268
31,87,191398.5467851411
31,88,1564.722004347946
31,89,483.0289981663227
31,90,21123.64508155384
31,91,2187.644996712916
31,92,21.46899993903935
31,93,331255.3022358418
31,94,7394.449965120992
31,95,187.0009992835112
31,96,191.0890021537198
31,97,1826.83096948266
32,1,34119.73687448818
32,2,3525403.500328431
32,3,2037040.950358037
32,4,1343375.977257188
32,5,126659.4354007952
32,6,4786.13289586443
32,7,710227.7349718901
32,8,836355.2461004375
32,9,178515.5797641285
32,10,10646329.98298221
32,11,634113.2514107326
32,12,3141762.188834996
32,13,10564.24397936149
32,14,9628.472835082561
32,15,7301694.471090241
32,16,93684.30047179945
32,17,347625.8360443807
32,18,101541.2674557974
32,19,251223.446681488
32,20,1065972.288674452
32,21,223199.986616688
32,22,924859.6037980533
32,23,9893091.391422221
32,24,373242.2413861363
32,25,155759.5490792382
32,26,536501.8280817694
32,27,8231309.737646729
32,28,908021.8130218716
32,29,1271369.864878041
32,30,962186.0640484073
32,31,47804.67263246467
32,32,107502.7546582274
32,33,538334.4230933345
32,34,161130.507921724
32,35,169925.1529481369
32,36,10623.47695732117
32,37,168.7279994710116
32,38,1087171.263229704
32,39,787780.6427021472
